Date,Close_NIKE,Open_NIKE,High_NIKE,Low_NIKE,Close_DJIA,Open_DJIA,High_DJIA,Low_DJIA
4/11/2018,67.06,66.58,67.2,66.52,24189.45,24274.19,24366.57,24150.87
4/12/2018,67.51,67.07,68,67.07,24483.05,24302.82,24592.12,24302.82
4/13/2018,66.2,68.12,68.33,66.98,24360.14,24582.82,24646.45,24243.74
4/16/2018,65.73,67.81,67.98,67.06,24573.04,24483.15,24675.36,24480.2
4/17/2018,66.09,67.37,67.67,67.28,24786.63,24681.79,24858.97,24681.79
4/18/2018,66.88,67.53,67.74,66.16,24748.07,24820.85,24832.54,24721.09
4/19/2018,66.97,66.03,66.3,64.99,24664.89,24711.3,24762.48,24557.03
4/20/2018,66.67,65.75,66.11,65.45,24462.94,24657.39,24678.07,24375.04
4/23/2018,68.05,66,67.03,65.95,24448.69,24488.07,24536.89,24328.54
4/24/2018,69.56,67.31,67.51,66.72,24024.13,24579.94,24579.94,23828.73
4/25/2018,68.39,66.84,67,66.25,24083.83,24070.2,24146.34,23823.08
4/26/2018,68.1,66.78,68.29,66.64,24322.34,24128.72,24402.46,24128.72
4/27/2018,68.26,68.47,70,68.45,24311.19,24342.14,24359.38,24194.45
4/30/2018,66.9,69.58,69.81,68.39,24163.15,24410.41,24498.23,24163.08
5/1/2018,68.1,67.98,68.21,67.03,24099.05,24117.29,24117.29,23808.19
5/2/2018,69.34,68.04,68.56,67.48,23924.98,24097.63,24185.52,23886.3
5/3/2018,68.46,67.8,67.85,66.64,23930.15,23836.23,23996.15,23531.31
5/4/2018,67.95,66.84,68.33,66.8,24262.51,23865.22,24333.35,23778.87
5/7/2018,67.92,68.06,69.42,68.06,24357.32,24317.66,24479.45,24263.42
5/8/2018,68.43,69.2,69.23,68.2,24360.21,24341.35,24412.34,24198.34
5/9/2018,68.84,68.42,68.47,67.01,24542.54,24399.18,24586.48,24323.87
5/10/2018,69.5,68.14,68.27,67.33,24739.53,24591.66,24794.99,24575.91
5/11/2018,71.34,68.03,68.53,67.91,24831.17,24758.64,24868.65,24717.5
5/14/2018,70.94,68.6,68.89,68.11,24899.41,24879.37,24994.19,24862.52
5/15/2018,71.32,68.31,69.52,68.23,24706.41,24809.55,24809.55,24629.39
5/16/2018,71.38,69.67,71.51,69.62,24768.93,24722.32,24801.19,24672.79
5/17/2018,71.31,71.4,71.6,70.82,24713.98,24752.4,24839.49,24639.4
5/18/2018,71.34,70.76,71.59,70.47,24715.09,24707.72,24774.97,24664.87
5/21/2018,72.18,71.48,71.7,70.71,25013.29,24883.06,25086.49,24883.06
5/22/2018,72.25,71.46,72.19,71.26,24834.41,25047.55,25064.99,24812.06
5/23/2018,70.92,70.95,71.92,70.83,24886.81,24757.71,24889.46,24667.12
5/24/2018,72.23,71.43,72.28,71.32,24811.76,24877.36,24877.36,24605.9
5/25/2018,71.8,73.1,73.49,71.63,24753.09,24781.29,24824.22,24687.81
5/29/2018,72.76,71.52,71.61,70.43,24361.45,24606.59,24635.18,24247.84
5/30/2018,73.83,71.46,72.29,70.94,24667.78,24467.83,24714.48,24459.09
5/31/2018,74.05,72,72.22,71.24,24415.84,24620.79,24620.79,24352.15
6/1/2018,74.75,72.12,72.95,72.12,24635.21,24542.09,24673.6,24542.09
6/4/2018,74.76,73,73.87,72.79,24813.69,24727.55,24859.37,24722.14
6/5/2018,74.9,73.61,74.22,73.14,24799.98,24820.12,24838.78,24710.82
6/6/2018,74.59,74.38,74.94,74.19,25146.39,24854.14,25146.46,24854.14
6/7/2018,74.29,74.95,75.91,74.65,25241.41,25192.14,25326.09,25164.48
6/8/2018,74.11,74.78,75.07,74.3,25316.53,25209.29,25325.63,25165.7
6/11/2018,74.7,75.06,75.21,74.54,25322.31,25336.67,25402.83,25290.2
6/12/2018,75.84,74.42,74.61,74.07,25320.73,25346.82,25364.37,25247.04
6/13/2018,75.61,74.27,74.9,73.99,25201.2,25328.65,25362.07,25191.42
6/14/2018,74.26,74.6,75.15,74.35,25175.31,25254.65,25332.5,25138.6
6/15/2018,74.72,74.71,75.85,74.5,25090.48,25116.71,25130.82,24894.38
6/18/2018,73.94,75.28,75.76,74.91,24987.47,24944.28,25003.1,24825.77
6/19/2018,73.43,74.5,74.92,73.65,24700.21,24763.59,24763.59,24567.75
6/20/2018,72.35,74.2,74.91,73.97,24657.8,24771.17,24804.76,24628.39
6/21/2018,72.56,73.7,74.79,73.55,24461.7,24639.21,24639.21,24406.63
6/22/2018,71.35,73.57,74.41,73.21,24580.89,24526.97,24663.18,24526.97
6/25/2018,71.7,73.32,73.36,72.03,24252.8,24463.73,24463.73,24084.39
6/26/2018,79.68,72.5,73.29,72.35,24283.11,24281.89,24384.21,24241.22
6/27/2018,78.35,72.73,72.95,71.15,24117.59,24303.11,24569.02,24115.82
6/28/2018,76.28,71.45,72.12,71.35,24216.05,24064.19,24308.16,23997.21
6/29/2018,76.55,78.76,81,78.36,24271.41,24323.93,24509.52,24269.71
7/2/2018,76.48,78.58,79.48,77.02,24307.18,24161.53,24319.42,24077.56
7/3/2018,77.28,77.41,77.89,76.1,24174.82,24359.39,24444.88,24150.85
7/5/2018,77.57,76.62,77.42,76.14,24356.74,24285.82,24372.8,24177.44
7/6/2018,77.36,76.48,77.08,76.07,24456.48,24352.47,24520.29,24281.47
7/9/2018,77.37,76.84,77.38,76.35,24776.59,24519.2,24796.52,24518.43
7/10/2018,77.38,77.44,78.09,77.16,24919.66,24806.97,24945.38,24806.97
7/11/2018,77.75,77.13,77.64,76.83,24700.45,24789.48,24815.16,24663.82
7/12/2018,77.47,77.94,78.18,77.23,24924.89,24802.9,24939.97,24802.9
7/13/2018,76.59,77.2,77.61,77.14,25019.41,24926.07,25043.21,24890.06
7/16/2018,76.95,77.36,78.1,77.3,25064.36,25025.58,25072.41,24979.64
7/17/2018,76.96,77.51,78.02,77.4,25119.89,25033.92,25155.39,24989.61
7/18/2018,76.59,77.43,77.62,76.32,25199.29,25133.79,25215.32,25101.12
7/19/2018,75.53,75.93,77.16,75.8,25064.5,25139.15,25154.17,25052.62
